genres,title,authors,rating,reviews,pages,Key_words
"['fantasy', 'youngadult']",Harry Potter and the Order of the Phoenix,"['j.k.rowling', 'marygrandpré', '(illustrator)']",4.5,2794282,870,"['door', 'end', 'silent', 'corridor', '’', 'haunting', 'harry', 'pottter', 'dream', 'else', 'would', 'waking', 'middle', 'night', 'screaming', 'terror', 'lot', 'mind', 'fifth', 'year', 'hogwarts', 'defense', 'dark', 'art', 'teacher', 'personality', 'like', 'poisoned', 'honey', 'big', 'surprise', 'gryffindor', 'quidditch', 'team', 'loomi']"
"['youngadult', 'fiction']",The Hunger Games,['suzannecollins'],4.32,7024815,374,"['could', 'survive', 'wild', 'every', 'one', 'make', 'sure', 'live', 'see', 'morning', 'ruin', 'place', 'known', 'north', 'america', 'lie', 'nation', 'panem', 'shining', 'capitol', 'surrounded', 'twelve', 'outlying', 'district', 'harsh', 'cruel', 'keep', 'line', 'forcing', 'send', 'boy', 'girl', 'age']"
"['classics', 'fiction']",Pride and Prejudice,"['janeausten', 'annaquindlen', '(introduction)']",4.27,3386935,279,"['alternate', 'cover', 'edition', 'isbn', '9780679783268since', 'immediate', 'success', '1813', 'pride', 'prejudice', 'remained', 'one', 'popular', 'novel', 'english', 'language', 'jane', 'austen', 'called', 'brilliant', 'work', 'darling', 'child', 'vivacious', 'heroine', 'elizabeth', 'bennet', 'delightful', 'creature', 'ever', 'appeared', 'print', '.""', 'romantic', 'clash', 'opinionated']"
"['youngadult', 'fantasy']",Twilight,['stepheniemeyer'],3.62,5465362,387,"['three', 'thing', 'absolutely', 'positive', 'first', 'edward', 'vampire', 'second', 'part', '—', 'know', 'dominant', 'might', 'thirsted', 'blood', 'third', 'unconditionally', 'irrevocably', 'love', 'deeply', 'seductive', 'extraordinarily', 'suspenseful', 'twilight', 'story', 'bite']"
"['classics', 'fiction']",Animal Farm,"['georgeorwell', 'russellbaker', '(preface)', 'c.m.woodhouse', '(introduction)']",3.97,3087737,141,"['librarian', 'note', 'alternate', 'cover', 'edition', 'book', 'farm', 'taken', 'overworked', 'mistreated', 'animal', 'flaming', 'idealism', 'stirring', 'slogan', 'set', 'create', 'paradise', 'progress', 'justice', 'equality', 'thus', 'stage', 'one', 'telling', 'satiric', 'fable', 'ever', 'penned', '–', 'razor', 'edged', 'fairy', 'tale', 'grown']"
"['historical', 'historicalfiction']",The Book Thief,['markuszusak'],4.38,2061501,552,"['librarian', 'note', 'alternate', 'cover', 'edition', 'found', 'hereit', '1939', 'nazi', 'germany', 'country', 'holding', 'breath', 'death', 'never', 'busier', 'still', 'brother', 'graveside', 'liesel', 'life', 'changed', 'pick', 'single', 'object', 'partially', 'hidden', 'snow', 'gravedigger', 'handbook', 'left', 'behind', 'accident', 'f']"
"['fantasy', 'classics']",The Chronicles of Narnia,"['c.s.lewis', 'paulinebaynes', '(illustrator)']",4.25,572862,767,"['librarian', 'note', 'alternate', 'cover', 'edition', 'found', '2005', 'journey', 'end', 'world', 'fantastic', 'creature', 'epic', 'battle', 'good', 'evil', '—', 'could', 'reader', 'ask', 'one', 'book', 'lion', 'witch', 'wardrobe', 'written', '1949', 'clive', 'staple', 'lewis', 'stop', 'six', 'book', 'follow']"
"['youngadult', 'romance']",The Fault in Our Stars,"['johngreen', 'fabiolastevenson', '(narradora)']",4.18,4040605,313,"['despite', 'tumor', 'shrinking', 'medical', 'miracle', 'bought', 'year', 'hazel', 'never', 'anything', 'terminal', 'final', 'chapter', 'inscribed', 'upon', 'diagnosis', 'gorgeous', 'plot', 'twist', 'named', 'augustus', 'water', 'suddenly', 'appears', 'cancer', 'kid', 'support', 'group', 'story', 'completely', 'rewritten', 'insightful', 'bold', 'irreverent', 'raw', 'fault', 'star']"
"['classics', 'historical']",Gone with the Wind,['margaretmitchell'],4.3,1133670,1037,"['scarlett', 'hara', 'beautiful', 'spoiled', 'daughter', 'well', 'georgia', 'plantation', 'owner', 'must', 'use', 'every', 'mean', 'disposal', 'claw', 'way', 'poverty', 'find', 'sherman', 'march', 'sea']"
"['sciencefiction', 'fiction']",The Hitchhiker's Guide to the Galaxy,['douglasadams'],4.22,1582821,193,"['beautifully', 'illustrated', 'edition', 'new', 'york', 'time', 'bestselling', 'classic', 'timed', 'celebrate', 'pivotal', '42nd', 'anniversary', 'original', 'publication', '--', 'never', 'seen', 'illustration', 'award', 'winner', 'chris', 'riddell', 'second', 'earth', 'demolished', 'make', 'way', 'galactic', 'freeway', 'arthur', 'dent', 'plucked', 'planet', 'friend', 'ford', 'prefect', 'researcher']"
"['childrens', 'childrens']",The Giving Tree,['shelsilverstein'],4.37,985206,64,"['tree', '...', 'loved', 'little', 'boy', 'begin', 'story', 'unforgettable', 'perception', 'beautifully', 'written', 'illustrated', 'gifted', 'versatile', 'shel', 'silverstein', 'every', 'day', 'would', 'come', 'eat', 'apple', 'swing', 'branch', 'slide', 'trunk', 'happy', 'grew', 'older', 'began', 'want', 'tr']"
"['classics', 'fiction']",Wuthering Heights,"['emilybrontë', 'richardj.dunn', '(editor)', 'charlottebrontë', '(commentary)', 'robertheindel', '(illustrator)', 'sőtéristván', '(translator)']",3.87,1483774,464,"['find', 'redesigned', 'cover', 'edition', 'best', 'selling', 'norton', 'critical', 'based', '1847', 'first', 'novel', 'fourth', 'editor', 'collated', 'text', 'several', 'modern', 'edition', 'corrected', 'number', 'variant', 'including', 'accidental', 'accompanied', 'entirely', 'new', 'explanatory', 'annotation']"
"['classics', 'fiction']",The Picture of Dorian Gray,"['oscarwilde', 'jeffreyeugenides', '(introduction)', 'benbarnes', '(narrator)']",4.1,1115629,272,"['written', 'distinctively', 'dazzling', 'manner', 'oscar', 'wilde', '’', 'story', 'fashionable', 'young', 'man', 'sell', 'soul', 'eternal', 'youth', 'beauty', 'author', 'popular', 'work', 'tale', 'dorian', 'gray', 'moral', 'disintegration', 'caused', 'scandal', 'ﬁrst', 'appeared', '1890', 'though', 'attacked', 'novel', 'corrupting', 'inﬂuence', 'responded', 'fact']"
