genres,title,authors,rating,reviews,description,pages
"['Fantasy', 'Young Adult']",Harry Potter and the Order of the Phoenix,"['J.K. Rowling', 'Mary GrandPré', '(Illustrator)']",4.50,2794282,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the loomi",870
"['Young Adult', 'Fiction']",The Hunger Games,['Suzanne Collins'],4.32,7024815,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages",374
"['Classics', 'Fiction']",Pride and Prejudice,"['Jane Austen', 'Anna Quindlen', '(Introduction)']",4.27,3386935,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated",279
"['Young Adult', 'Fantasy']",Twilight,['Stephenie Meyer'],3.62,5465362,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",387
"['Classics', 'Fiction']",Animal Farm,"['George Orwell', 'Russell Baker', '(Preface)', 'C.M. Woodhouse', '(Introduction)']",3.97,3087737,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown",141
"['Historical', 'Historical Fiction']",The Book Thief,['Markus Zusak'],4.38,2061501,"Librarian's note: An alternate cover edition can be found hereIt is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her f",552
"['Fantasy', 'Classics']",The Chronicles of Narnia,"['C.S. Lewis', 'Pauline Baynes', '(Illustrator)']",4.25,572862,"Librarian note: An alternate cover for this edition can be found here: 2005.Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books follow",767
"['Young Adult', 'Romance']",The Fault in Our Stars,"['John Green', 'Fabiola Stevenson', '(Narradora)']",4.18,4040605,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars",313
"['Classics', 'Historical']",Gone with the Wind,['Margaret Mitchell'],4.30,1133670,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",1037
"['Science Fiction', 'Fiction']",The Hitchhiker's Guide to the Galaxy,['Douglas Adams'],4.22,1582821,"A beautifully illustrated edition of the New York Times bestselling classic, timed to celebrate the pivotal 42nd anniversary of the original publication--with never-before-seen illustrations by award winner Chris Riddell Seconds before Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for",193
"['Childrens', 'Childrens']",The Giving Tree,['Shel Silverstein'],4.37,985206,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tr",64
"['Classics', 'Fiction']",Wuthering Heights,"['Emily Brontë', 'Richard J. Dunn', '(Editor)', 'Charlotte Brontë', '(Commentary)', 'Robert Heindel', '(Illustrator)', 'Sőtér István', '(Translator)']",3.87,1483774,"You can find the redesigned cover of this edition HERE.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the",464
"['Classics', 'Fiction']",The Picture of Dorian Gray,"['Oscar Wilde', 'Jeffrey Eugenides', '(Introduction)', 'Ben Barnes', '(Narrator)']",4.10,1115629,"Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact,",272
"['Fiction', 'Mystery']",The Da Vinci Code,['Dan Brown'],3.88,2088671,"ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a",489
"['Classics', 'Fiction']",Jane Eyre,"['Charlotte Brontë', 'Sylvère Monod']",4.13,1778534,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbiddin",532
"['Fiction', 'Historical']",Memoirs of a Geisha,['Arthur Golden'],4.13,1818000,"A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most pow",503
"['Classics', 'Fantasy']",Alice's Adventures in Wonderland / Through the Looking-Glass,"['Lewis Carroll', 'John Tenniel', '(Illustrator)', 'Martin Gardner', '(Introduction)']",4.06,499041,"""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanie",239
"['Classics', 'Fiction']",Fahrenheit 451,['Ray Bradbury'],3.98,1908245,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they ar",194
"['Young Adult', 'Fiction']",The Perks of Being a Wallflower,['Stephen Chbosky'],4.21,1410146,standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More inti,213
"['Young Adult', 'Science Fiction']",Divergent,['Veronica Roth'],4.17,3258936,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the",487
"['Fantasy', 'Fiction']",Harry Potter and the Sorcerer's Stone,['J.K. Rowling'],4.47,7980967,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft",309
"['Classics', 'Fiction']",Lord of the Flies,['William Golding'],3.69,2474448,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collaps",182
"['Classics', 'Fiction']",Crime and Punishment,"['Fyodor Dostoevsky', 'David McDuff', '(Translator)']",4.23,710470,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pur",671
"['Classics', 'Plays']",Romeo and Juliet,"['William Shakespeare', 'Paul Werstine', '(Editor)', 'Barbara A. Mowat', '(Editor)']",3.75,2224800,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordina",281
"['Classics', 'Fiction']",The Little Prince,"['Antoine de Saint-Exupéry', 'Richard Howard', '(Translator)']",4.31,1603410,"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fa",96
"['Young Adult', 'Fantasy']",City of Bones,['Cassandra Clare'],4.09,1772105,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is not",485
"['Fiction', 'Historical']",The Help,['Kathryn Stockett'],4.46,2356640,"Three ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Consta",464
"['Classics', 'Fiction']",Anne of Green Gables,['L.M. Montgomery'],4.26,818629,"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redhea",320
"['Science Fiction', 'Young Adult']",Ender's Game,['Orson Scott Card'],4.30,1225712,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip awa",324
"['Classics', 'Childrens']",Charlotte's Web,"['E.B. White', 'Garth Williams', '(Illustrator)', 'Rosemary Wells', '(Illustrations)']",4.18,1561470,"This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her fe",184
"['Classics', 'Fiction']",Of Mice and Men,['John Steinbeck'],3.88,2120355,"An intimate portrait of two men who cherish the slim bond between them and the dream they share in a world marred by petty tyranny, misunderstanding, jealousy, and callousness. Clinging to each other in their loneliness and alienation, George and his simple-minded friend Lennie dream, as drifters will, of a place to call their own—a couple of acres and a few pigs, chickens",103
"['Fantasy', 'Young Adult']",The Lightning Thief,['Rick Riordan'],4.27,2286439,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth ab",377
"['Fiction', 'Romance']",The Time Traveler's Wife,['Audrey Niffenegger'],3.98,1659462,"A funny, often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? Highly original and imaginative, this debut novel raises questions about life, love, and the effects of time on relationships.Audrey Niffenegger’s innovative debut, The Time Traveler’s Wife, is the story of Clare, a beautiful art student, and Henry, a",500
"['Classics', 'Horror']",Dracula,"['Bram Stoker', 'Nina Auerbach', '(Editor)', 'David J. Skal', '(Editor)']",4.00,1042641,"You can find an alternative cover edition for this ISBN here and here.A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original open",488
"['Classics', 'Fiction']",Brave New World,['Aldous Huxley'],3.99,1583523,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical co",268
"['Fiction', 'Classics']",One Hundred Years of Solitude,"['Gabriel García Márquez', 'Gregory Rabassa', '(Translator)', 'Seçkin Selvi', '(Translator)']",4.09,823648,"The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",417
